trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
33,05:00:00,05:00:00,AKA,1,,,,
33,05:28:00,05:28:00,BHRA,2,,,,
33,05:56:00,05:56:00,BCI,3,,,,
33,06:47:00,06:47:00,NRC,4,,,,
33,08:00:00,08:00:00,DABB,5,,,,
33,08:35:00,08:35:00,DA,6,,,,
17,06:00:00,06:00:00,AKA,1,,,,
17,08:27:00,08:27:00,SSJ,2,,,,
17,09:39:00,09:39:00,SRG,3,,,,
17,11:26:00,11:26:00,KAL,4,,,,
17,13:00:00,13:00:00,SYT,5,,,,
93,13:45:00,13:45:00,AKA,1,,,,
93,15:22:00,15:22:00,SSJ,2,,,,
93,16:06:00,16:06:00,SRG,3,,,,
93,17:27:00,17:27:00,KAL,4,,,,
93,19:10:00,19:10:00,SYT,5,,,,
746,01:10:00,01:10:00,BAH,1,,,,
746,02:11:00,02:11:00,TAR,2,,,,
746,02:30:00,02:30:00,SRB,3,,,,
746,03:15:00,03:15:00,JML,4,,,,
746,04:40:00,04:40:00,MYM,5,,,,
746,05:28:00,05:28:00,GAR,6,,,,
746,06:40:00,06:40:00,JYR,7,,,,
746,07:18:00,07:18:00,DABB,8,,,,
746,08:10:00,08:10:00,DA,9,,,,
38,00:45:00,00:45:00,BBE,1,,,,
38,02:00:00,02:00:00,JAG,2,,,,
38,02:45:00,02:45:00,TAR,3,,,,
38,03:25:00,03:25:00,SRB,4,,,,
38,04:40:00,04:40:00,JML,5,,,,
38,06:45:00,06:45:00,MYM,6,,,,
38,09:30:00,09:30:00,KIS,7,,,,
38,11:40:00,11:40:00,BCI,8,,,,
38,12:20:00,12:20:00,BHRA,9,,,,
38,13:05:00,13:05:00,AKA,10,,,,
38,14:42:00,14:42:00,CML,11,,,,
38,15:30:00,15:30:00,LKM,12,,,,
38,16:53:00,16:53:00,FNI,13,,,,
38,20:25:00,20:25:00,CTG,14,,,,
76,17:50:00,17:50:00,BBE,1,,,,
76,22:30:00,22:30:00,MYM,2,,,,
779,13:40:00,13:40:00,BHG,1,,,,
779,13:47:00,13:47:00,KAS,2,,,,
779,13:49:00,13:49:00,KAS,3,,,,
779,14:13:00,14:13:00,BOA,4,,,,
779,14:16:00,14:16:00,BOA,5,,,,
779,14:40:00,14:40:00,MAD,6,,,,
779,14:43:00,14:43:00,MAD,7,,,,
779,15:04:00,15:04:00,BRP,8,,,,
779,15:07:00,15:07:00,BRP,9,,,,
779,15:30:00,15:30:00,KLHI,10,,,,
779,16:05:00,16:05:00,KLHI,11,,,,
779,16:30:00,16:30:00,RB,12,,,,
779,17:15:00,17:15:00,RB,13,,,,
779,18:30:00,18:30:00,GLB,14,,,,
35,14:15:00,14:15:00,BHRA,1,,,,
35,14:52:00,14:52:00,BCI,2,,,,
35,15:41:00,15:41:00,NRC,3,,,,
35,16:45:00,16:45:00,DABB,4,,,,
35,17:15:00,17:15:00,DA,5,,,,
59,06:30:00,06:30:00,BON,1,,,,
59,07:03:00,07:03:00,GAI,2,,,,
59,10:25:00,10:25:00,RAN,3,,,,
59,13:30:00,13:30:00,DIN,4,,,,
66,10:30:00,10:30:00,BUR,1,,,,
66,12:40:00,12:40:00,LAL,2,,,,
72,22:50:00,22:50:00,BUR,1,,,,
72,25:00:00,25:00:00,LAL,2,,,,
211,07:35:00,07:35:00,CHA,1,,,,
211,08:15:00,08:15:00,DA,2,,,,
213,08:20:00,08:20:00,CHA,1,,,,
213,09:00:00,09:00:00,DA,2,,,,
215,09:35:00,09:35:00,CHA,1,,,,
215,10:15:00,10:15:00,DA,2,,,,
217,10:20:00,10:20:00,CHA,1,,,,
217,11:00:00,11:00:00,DA,2,,,,
219,12:15:00,12:15:00,CHA,1,,,,
219,12:55:00,12:55:00,DA,2,,,,
221,13:40:00,13:40:00,CHA,1,,,,
221,14:25:00,14:25:00,DA,2,,,,
225,16:15:00,16:15:00,CHA,1,,,,
225,17:00:00,17:00:00,DA,2,,,,
227,17:20:00,17:20:00,CHA,1,,,,
227,18:05:00,18:05:00,DA,2,,,,
229,18:25:00,18:25:00,CHA,1,,,,
229,19:10:00,19:10:00,DA,2,,,,
231,19:15:00,19:15:00,CHA,1,,,,
231,19:55:00,19:55:00,DA,2,,,,
233,20:30:00,20:30:00,CHA,1,,,,
233,21:15:00,21:15:00,DA,2,,,,
235,21:20:00,21:20:00,CHA,1,,,,
235,22:00:00,22:00:00,DA,2,,,,
237,22:35:00,22:35:00,CHA,1,,,,
237,23:15:00,23:15:00,DA,2,,,,
209,06:35:00,06:35:00,CHA,1,,,,
209,07:15:00,07:15:00,DA,2,,,,
223,14:35:00,14:35:00,CHA,1,,,,
223,15:20:00,15:20:00,DA,2,,,,
239,23:05:00,23:05:00,CHA,1,,,,
239,23:45:00,23:45:00,DA,2,,,,
766,21:20:00,21:20:00,CLH,1,,,,
766,23:45:00,23:45:00,PBT,2,,,,
766,24:59:00,24:59:00,JOY,3,,,,
766,25:50:00,25:50:00,STU,4,,,,
766,26:47:00,26:47:00,NTE,5,,,,
766,29:49:00,29:49:00,TAGL,6,,,,
766,31:00:00,31:00:00,JYR,7,,,,
766,31:36:00,31:36:00,DABB,8,,,,
766,31:50:00,31:50:00,DACT,9,,,,
28,07:00:00,07:00:00,CLH,1,,,,
28,09:20:00,09:20:00,PBT,2,,,,
732,05:30:00,05:30:00,CLH,1,,,,
732,07:35:00,07:35:00,PBT,2,,,,
732,09:09:00,09:09:00,JOY,3,,,,
732,10:05:00,10:05:00,STU,4,,,,
732,11:00:00,11:00:00,NTE,5,,,,
732,12:35:00,12:35:00,RJHI,6,,,,
734,14:20:00,14:20:00,CLH,1,,,,
734,16:30:00,16:30:00,PBT,2,,,,
734,18:15:00,18:15:00,JOY,3,,,,
734,19:10:00,19:10:00,STU,4,,,,
734,20:13:00,20:13:00,NTE,5,,,,
734,22:00:00,22:00:00,RJHI,6,,,,
89,06:00:00,06:00:00,CML,1,,,,
89,07:30:00,07:30:00,AKA,2,,,,
89,07:52:00,07:52:00,BHRA,3,,,,
89,08:45:00,08:45:00,BCI,4,,,,
89,10:05:00,10:05:00,NRC,5,,,,
89,11:45:00,11:45:00,DA,6,,,,
84,13:45:00,13:45:00,CML,1,,,,
84,17:30:00,17:30:00,KCPR,2,,,,
88,12:30:00,12:30:00,CML,1,,,,
88,17:10:00,17:10:00,SNP,2,,,,
88,24:30:00,24:30:00,CML,3,,,,
58,13:00:00,13:00:00,CNBJ,1,,,,
58,14:40:00,14:40:00,RJHI,2,,,,
58,19:00:00,19:00:00,ISH,3,,,,
6,08:10:00,08:10:00,CNBJ,1,,,,
6,13:40:00,13:40:00,ISH,2,,,,
