stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code
BUR,Burimari,,26.3960696,88.9356094,,,
KOL,"Kolkata Chitpur",,22.6012224,88.3841124,,,
SSJ,"Shaistaganj Junction",,24.2784405,91.4499210,,,
KAL,"Kalaura Junction",,24.5223880,92.0368260,,,
BRP,Baharpur,,23.6826926,89.5686861,,,
ISH,"Ishardi Junction",,24.1302685,89.0629840,,,
FNI,"Feni Junction",,23.0131035,91.4031816,,,
PBT,"Parbatipur Junction",,25.6481053,88.9178309,,,
KLHI,"Kalukhali Junction",,23.7683887,89.4805067,,,
RAN,Rangpur,,25.7284686,89.2639938,,,
JS,"Jessore Junction",,23.1700842,89.1907529,,,
BBE,"Bangabandhu Setu East",,24.3890945,89.8200396,,,
PDB,"Poradaha Junction",,23.8622049,89.0280362,,,
TAGL,Tangail,,24.2738464,89.9377198,,,
KCPR,"Chandpur Court",,23.2254546,90.6549747,,,
NZH,"Nazir Hat",,22.6293612,91.7876873,,,
BOG,Bogra,,24.8486307,89.3666432,,,
MOH,Mohanganj,,24.8707556,90.9727664,,,
CTG,Chittagong,,22.3339629,91.8295903,,,
SDP,Saidpur,,25.7925630,88.8900397,,,
GAI,Gaibandha,,25.3323091,89.5424660,,,
DEW,Dewangonj,,25.1569555,89.7566210,,,
RPU,Rahanpur,,24.8204227,88.3194471,,,
GLB,"Goalanda Bazar",,23.7239033,89.7641298,,,
LKM,"Laksham Junction",,23.2486832,91.1230321,,,
LAL,"Lalmonirhat Junction",,25.9126271,89.4453733,,,
AKA,Akhaura,,23.8713464,91.2058786,,,
NPC,Nilphamari,,25.9490693,88.8359750,,,
SRG,Srimongol,,24.3066491,91.7349859,,,
DIN,Dinajpur,,25.6247034,88.6324031,,,
DOH,Dohazari,,22.1622285,92.0699151,,,
BHRA,Bramhonbaria,,23.9667393,91.1090104,,,
CML,Comilla,,23.4623660,91.1669197,,,
RB,Rajbari,,23.7612998,89.6517428,,,
KAS,Kashiani,,23.2347510,89.7264534,,,
CHA,Chasara,,23.6244687,90.4983013,,,
BAH,"Bahadurabad Ghat",,25.1661739,89.7357007,,,
JYR,"Joydevpur Junction",,23.9978820,90.4200089,,,
JAG,"Jagannathganj Ghat",,24.6417426,89.8085780,,,
TAR,Tarakandi,,24.6862314,89.8246909,,,
BHG,"Bhatiapara Ghat",,23.2133133,89.6972804,,,
SHO,Sholashohor,,22.3684666,91.8265796,,,
BCI,"Bhairab Bazar Junction",,24.0502458,90.9784160,,,
SIR,Sirajganj,,24.4501164,89.7049987,,,
JAH,"Janali Hat",,22.3958642,91.8719498,,,
DABB,"Dhaka Bimanbander",,23.8520204,90.4081960,,,
JML,"Jamalpur Junction",,24.9160687,89.9511828,,,
NRC,Narsingdi,,23.9308715,90.7159738,,,
BOA,"Boalmari Bazar",,23.3898755,89.6876783,,,
RJHI,Rajshahi,,24.3750032,88.6085678,,,
CO,Chuadanga,,23.6380381,88.8546283,,,
DA,Dhaka,,23.7330725,90.4261318,,,
JOY,Joypurhat,,25.0989837,89.0260968,,,
MYM,"Mymensingh Junction",,24.7532728,90.4101031,,,
CTU,"Chittagong University",,22.4706822,91.7942432,,,
KLNJ,Khulna,,22.8226365,89.5577752,,,
ULP,Ullapra,,24.2913548,89.5738680,,,
SNP,Sonapur,,22.8273358,91.1020513,,,
THA,Thakurgaon,,26.0391632,88.4267702,,,
SRB,Sarishabari,,24.7608313,89.8400644,,,
GAR,Gafargaon,,24.4568237,90.5459021,,,
STU,"Santahar Junction",,24.8050988,88.9861851,,,
DSNJ,"Darshana Junction",,23.5264526,88.7972279,,,
DACT,"Dhaka Cantonment",,23.8156159,90.4104396,,,
PAN,Panchagarh,,26.3298758,88.5418080,,,
CNBJ,Nawabganj,,24.5988348,88.2803825,,,
SYT,Sylhet,,24.8817067,91.8670188,,,
NTE,Natore,,24.4095069,88.9660632,,,
CLH,Chilahati,,26.2432978,88.7967676,,,
BON,Bonarpara,,25.1665696,89.5246673,,,
MAD,Madhukhali,,23.5465378,89.6309054,,,
KIS,Kishoreganj,,24.4321395,90.7872906,,,
