route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
"AKA2DA-Titas Commuter",every_day,33,Dhaka,,,,
"AKA2SYT-Kushiara Express",every_day,17,Sylhet,,,,
"AKA2SYT-Sylhet Comuter",not_friday,93,Sylhet,,,,
"BAH2DA-Jamuna Express",every_day,746,Dhaka,,,,
"BBE2CTG-Mymensingh Express",every_day,38,Chittagong,,,,
"BBE2MYM-Dholesssory Express",every_day,76,"Mymensingh Junction",,,,
"BHG2GLB-Bhatiapara Express",every_day,779,"Goalanda Bazar",,,,
"BHRA2DA-Titas Commuter",not_friday,35,Dhaka,,,,
"BON2DIN-Ramsagor Express",every_day,59,Dinajpur,,,,
"BUR2LAL-Burimari Comuter-2",every_day,66,"Lalmonirhat Junction",,,,
"BUR2LAL-Burimari Comuter-4",every_day,72,"Lalmonirhat Junction",,,,
CHA2DA-Local,every_day,211,Dhaka,,,,
CHA2DA-Local,every_day,213,Dhaka,,,,
CHA2DA-Local,every_day,215,Dhaka,,,,
CHA2DA-Local,every_day,217,Dhaka,,,,
CHA2DA-Local,every_day,219,Dhaka,,,,
CHA2DA-Local,every_day,221,Dhaka,,,,
CHA2DA-Local,every_day,225,Dhaka,,,,
CHA2DA-Local,every_day,227,Dhaka,,,,
CHA2DA-Local,every_day,229,Dhaka,,,,
CHA2DA-Local,every_day,231,Dhaka,,,,
CHA2DA-Local,every_day,233,Dhaka,,,,
CHA2DA-Local,every_day,235,Dhaka,,,,
CHA2DA-Local,every_day,237,Dhaka,,,,
"CHA2DA-N.Gong Comuter",every_day,209,Dhaka,,,,
"CHA2DA-N.Gong Comuter",every_day,223,Dhaka,,,,
"CHA2DA-N.Gong Comuter",every_day,239,Dhaka,,,,
CLH2DACT-Nilsagar,not_sunday,766,"Dhaka Cantonment",,,,
"CLH2PBT-Chilahati Express",every_day,28,"Parbatipur Junction",,,,
"CLH2RJHI-Barendra Express",not_sunday,732,Rajshahi,,,,
"CLH2RJHI-Titumir Express",not_wednesday,734,Rajshahi,,,,
"CML2DA-Comilla Comuter",not_friday,89,Dhaka,,,,
"CML2KCPR-Chandpur Comuter",not_friday,84,"Chandpur Court",,,,
"CML2SNP-Noakhali Comuter",not_friday,88,Sonapur,,,,
"CNBJ2RJHI-Rajshahi Comuter",every_day,58,Rajshahi,,,,
"CNBJ2SIR-Rajshahi Express",every_day,6,Sirajganj,,,,
"CTG2BBE-Mymensingh Express",every_day,37,"Bangabandhu Setu East",,,,
CTG2CTU-,every_day,131,"Chittagong University",,,,
CTG2CTU-,every_day,133,"Chittagong University",,,,
CTG2CTU-,every_day,139,"Chittagong University",,,,
CTG2CTU-,every_day,141,"Chittagong University",,,,
CTG2CTU-,every_day,143,"Chittagong University",,,,
"CTG2DA-Chattala Express",not_tuesday,67,Dhaka,,,,
"CTG2DA-Dhaka Mail",every_day,1,Dhaka,,,,
"CTG2DA-Karnaphuli Express",every_day,3,Dhaka,,,,
"CTG2DA-Mohanagar Goduli",every_day,703,Dhaka,,,,
"CTG2DA-Mohanagar Provati",not_sunday,721,Dhaka,,,,
"CTG2DA-Subarna Express",not_friday,701,Dhaka,,,,
"CTG2DA-Turna Express",every_day,741,Dhaka,,,,
CTG2DOH-,every_day,111,Dohazari,,,,
CTG2JAH-,every_day,CTG-commuter-3,"Janali Hat",,,,
CTG2JAH-,every_day,CTG-commuter-1,"Janali Hat",,,,
"CTG2KCPR-Megna Express",every_day,729,"Chandpur Court",,,,
"CTG2KCPR-Sagarika Express",every_day,29,"Chandpur Court",,,,
"CTG2LKM-Laksam Comuter",not_friday,79,"Laksham Junction",,,,
"CTG2SYT-Jalalabad Express",every_day,13,Sylhet,,,,
"CTG2SYT-Paharia Express",not_monday,719,Sylhet,,,,
"CTG2SYT-Uddayan Express",not_saturday,723,Sylhet,,,,
CTU2CTG-,every_day,136,Chittagong,,,,
CTU2CTG-,every_day,138,Chittagong,,,,
CTU2CTG-,every_day,140,Chittagong,,,,
CTU2CTG-,every_day,142,Chittagong,,,,
CTU2CTG-,every_day,144,Chittagong,,,,
CTU2SHO-,every_day,132,Sholashohor,,,,
CTU2SHO-,every_day,134,Sholashohor,,,,
"DA2AKA-Titas Commuter",every_day,36,Akhaura,,,,
"DA2BAH-Jamuna Express",every_day,745,"Bahadurabad Ghat",,,,
"DA2BBE-Rangpur Express",not_sunday,771,"Bangabandhu Setu East",,,,
"DA2BHRA-Titas Commuter",not_friday,34,Bramhonbaria,,,,
DA2CHA-Local,every_day,212,Chasara,,,,
DA2CHA-Local,every_day,214,Chasara,,,,
DA2CHA-Local,every_day,216,Chasara,,,,
DA2CHA-Local,every_day,218,Chasara,,,,
DA2CHA-Local,every_day,220,Chasara,,,,
DA2CHA-Local,every_day,222,Chasara,,,,
DA2CHA-Local,every_day,226,Chasara,,,,
DA2CHA-Local,every_day,228,Chasara,,,,
DA2CHA-Local,every_day,230,Chasara,,,,
DA2CHA-Local,every_day,232,Chasara,,,,
DA2CHA-Local,every_day,234,Chasara,,,,
DA2CHA-Local,every_day,236,Chasara,,,,
DA2CHA-Local,every_day,238,Chasara,,,,
"DA2CHA-N.Gong Comuter",every_day,210,Chasara,,,,
"DA2CHA-N.Gong Comuter",every_day,224,Chasara,,,,
"DA2CHA-N.Gong Comuter",every_day,240,Chasara,,,,
"DA2CML-Comilla Comuter",not_friday,90,Comilla,,,,
"DA2CTG-Chattala Express",not_tuesday,68,Chittagong,,,,
"DA2CTG-Chittagong Mail",every_day,2,Chittagong,,,,
"DA2CTG-Karnaphuli Express",every_day,4,Chittagong,,,,
"DA2CTG-Mohanagar Goduli",not_sunday,722,Chittagong,,,,
"DA2CTG-Mohanagar Provati",every_day,704,Chittagong,,,,
"DA2CTG-Subarna Express",not_friday,702,Chittagong,,,,
"DA2CTG-Turna Express",every_day,742,Chittagong,,,,
DA2DEW-Bharamaputra,every_day,743,Dewangonj,,,,
"DA2DEW-Dewanganj Comuter",every_day,47,Dewangonj,,,,
"DA2DEW-Jamalpur Comuter",every_day,51,Dewangonj,,,,
"DA2DEW-Tista Express",not_monday,707,Dewangonj,,,,
"DA2DEW-Voyal Express",every_day,55,Dewangonj,,,,
"DA2DIN-Drutojan Express",not_wednesday,757,Dinajpur,,,,
